brand,model,model_year,mileage,fuel_type,transmission,exterior_color,interior_col,accident,clean_title,price,engine_size_L,car_age,miles_per_year
Ford,Utility Police Interceptor Base,2013,51000,E85 Flex Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,10300,3.7,12,4250.0
Hyundai,Palisade SEL,2021,34742,Gasoline,Automatic,Moonlight Cloud,Gray,At least 1 accident or damage reported,Yes,38005,3.8,4,8685.5
Lexus,RX 350 RX 350,2022,22372,Gasoline,Automatic,Blue,Black,None reported,No,54598,3.5,3,7457.333333333333
INFINITI,Q50 Hybrid Sport,2015,88900,Hybrid,Automatic,Black,Black,None reported,Yes,15500,3.5,10,8890.0
Audi,Q3 45 S line Premium Plus,2021,9835,Gasoline,Automatic,Glacier White Metallic,Black,None reported,No,34999,2.0,4,2458.75
Acura,ILX 2.4L,2016,136397,Gasoline,Unknown,Silver,Ebony.,None reported,No,14798,2.4,9,15155.222222222223
Audi,S3 2.0T Premium Plus,2017,84000,Gasoline,Automatic,Blue,Black,None reported,Yes,31000,2.0,8,10500.0
BMW,740 iL,2001,242000,Gasoline,Automatic,Green,Green,None reported,Yes,7300,4.4,24,10083.333333333334
Lexus,RC 350 F Sport,2021,23436,Gasoline,Automatic,Black,Black,None reported,Yes,41927,3.5,4,5859.0
Tesla,Model X Long Range Plus,2020,34000,Gasoline,Automatic,Black,Black,None reported,Yes,69950,Unknown,5,6800.0
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608,Gasoline,Automatic,Fuji White,Pimento / Ebony,None reported,No,73897,Unknown,4,6902.0
Aston,Martin DBS Superleggera,2019,22770,Gasoline,Automatic,Silver,Black,None reported,Yes,184606,5.2,6,3795.0
Toyota,Supra 3.0 Premium,2021,12500,Gasoline,Automatic,Yellow,Black,None reported,Yes,53500,3.0,4,3125.0
Lincoln,Aviator Reserve AWD,2022,18196,Gasoline,Unknown,Black,Brown,None reported,Yes,62000,3.0,3,6065.333333333333
Jaguar,F-TYPE,2020,15903,Gasoline,Automatic,Silver,Black,None reported,No,47998,2.0,5,3180.6
Land,Rover LR4 HSE,2013,79800,Gasoline,Automatic,White,Black,None reported,Yes,29990,5.0,12,6650.0
Mercedes-Benz,Metris Base,2021,1685,Gasoline,Automatic,Gray,White,None reported,Yes,250000,2.0,4,421.25
Dodge,Challenger SXT,2013,61074,Gasoline,Automatic,Black,Gray,None reported,Yes,16800,3.6,12,5089.5
Nissan,350Z Enthusiast,2003,74000,Gasoline,Manual,Purple,Unknown,None reported,Yes,11000,3.5,22,3363.6363636363635
Jaguar,F-TYPE R,2018,35250,Gasoline,Automatic,Green,Black,None reported,Yes,68750,5.0,7,5035.714285714285
Genesis,GV70 3.5T Sport,2023,5400,Gasoline,Automatic,Green,Beige,Unknown,No,60000,3.5,2,2700.0
Chevrolet,S-10 LS,2000,133510,E85 Flex Fuel,Automatic,Blue,Black,None reported,Yes,4500,2.2,25,5340.4
BMW,440 Gran Coupe 440i xDrive,2020,25990,Gasoline,Automatic,White,Beige,None reported,No,38598,3.0,5,5198.0
Ford,F-150 XLT,2023,2823,Gasoline,Automatic,Iconic Silver Metallic,Black,None reported,Yes,58504,3.5,2,1411.5
Chevrolet,Suburban RST,2021,52000,Gasoline,Automatic,Blue,Black,None reported,Yes,61000,5.3,4,13000.0
Hyundai,Elantra N Base,2022,11650,Gasoline,Unknown,Black,Black,None reported,Yes,32300,2.0,3,3883.3333333333335
Nissan,Sentra SR,2016,96541,Gasoline,Automatic,Blue,Black,None reported,No,13998,1.8,9,10726.777777777777
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500,Gasoline,Automatic,Gray,Black,None reported,Yes,59995,2.0,4,4375.0
BMW,650 Gran Coupe i xDrive,2015,69000,Gasoline,Automatic,Gray,Black,None reported,Yes,25700,4.4,10,6900.0
Audi,Q5 2.0T Premium Plus,2017,81880,E85 Flex Fuel,Automatic,Mythos Black Metallic,Black,None reported,Yes,21375,2.0,8,10235.0
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800,Gasoline,Automatic,Silver,Black,None reported,Yes,48000,3.0,7,4114.285714285715
Dodge,Ram 1500 Laramie Mega Cab,2006,300183,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,10900,5.7,19,15799.105263157895
BMW,i3 120Ah w/Range Extender,2020,35035,Hybrid,Automatic,Black,Black,None reported,No,24998,Unknown,5,7007.0
Kia,Sorento SX,2011,171000,Gasoline,Automatic,Black,Black,None reported,Yes,5999,3.5,14,12214.285714285714
Lexus,LX 570 Base,2016,118700,Gasoline,Automatic,Black,Beige,None reported,Yes,46900,5.7,9,13188.888888888889
Jeep,New Compass Trailhawk,2017,119000,Gasoline,Automatic,Red,Black,None reported,Yes,15900,2.4,8,14875.0
BMW,340 i,2018,44261,Gasoline,Automatic,Gray,Black,None reported,No,33598,3.0,7,6323.0
Audi,A4 2.0T Premium Plus quattro,2012,125575,Gasoline,Automatic,Silver,Black,None reported,Yes,8999,2.0,13,9659.615384615385
Hyundai,Tucson SE,2007,16200,Gasoline,Automatic,Gold,Beige,None reported,Yes,8200,2.7,18,900.0
BMW,Z4 sDrive28i,2014,70000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,20000,2.0,11,6363.636363636364
Bentley,Continental GTC Base,2011,20200,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,79950,6.0,14,1442.857142857143
Honda,Passport Elite,2023,2978,Gasoline,Automatic,Lunar Silver Metallic,Gray,None reported,No,45498,3.5,2,1489.0
Dodge,Sprinter 2500,2007,189719,Diesel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14000,3.0,18,10539.944444444445
BMW,M850 i xDrive,2019,9949,Gasoline,Automatic,Blue,Black,None reported,No,75798,4.4,6,1658.1666666666667
Lucid,Air Grand Touring,2022,3552,Gasoline,Automatic,Red,Beige,None reported,Yes,119999,Unknown,3,1184.0
Audi,A7 Premium,2012,54000,Gasoline,Automatic,Black,Brown,At least 1 accident or damage reported,Yes,36880,3.0,13,4153.846153846154
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351,Gasoline,Automatic,Black,Jet Black,None reported,Yes,43147,5.3,4,12837.75
MINI,Convertible John Cooper Works,2017,24280,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,29000,2.0,8,3035.0
Toyota,Avalon Touring,2016,89148,Gasoline,Automatic,Black,Black,None reported,Yes,17500,3.5,9,9905.333333333334
Porsche,Cayenne Platinum Edition,2017,73043,Gasoline,Automatic,White,Black,None reported,Yes,30990,3.6,8,9130.375
Mercedes-Benz,AMG C 63 S,2017,60000,Gasoline,Unknown,Gray,Black,At least 1 accident or damage reported,Yes,52500,4.0,8,7500.0
Honda,CR-V EX-L,2016,73549,Gasoline,Automatic,Mountain Air Metallic,Black,At least 1 accident or damage reported,No,20848,2.4,9,8172.111111111111
