brand,model_year,mileage,fuel_type,transmission,exterior_color,interior_color,accident,clean_title,price,engine_size_L,car_age,miles_per_year
Ford,2013,51000,E85 Flex Fuel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,10300,3.7,12,4250.0
Hyundai,2021,34742,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,38005,3.8,4,8685.5
Lexus,2022,22372,Gasoline,Automatic,Blue,Black,None reported,No,54598,3.5,3,7457.333333333333
INFINITI,2015,88900,Hybrid,Automatic,Black,Black,None reported,Yes,15500,3.5,10,8890.0
Audi,2021,9835,Gasoline,Automatic,White,Black,None reported,No,34999,2.0,4,2458.75
Acura,2016,136397,Gasoline,Unknown,Silver,Black,None reported,No,14798,2.4,9,15155.222222222224
Audi,2017,84000,Gasoline,Automatic,Blue,Black,None reported,Yes,31000,2.0,8,10500.0
BMW,2001,242000,Gasoline,Automatic,Green,Green,None reported,Yes,7300,4.4,24,10083.333333333334
Lexus,2021,23436,Gasoline,Automatic,Black,Black,None reported,Yes,41927,3.5,4,5859.0
Tesla,2020,34000,Gasoline,Automatic,Black,Black,None reported,Yes,69950,Unknown,5,6800.0
Land,2021,27608,Gasoline,Automatic,White,Black,None reported,No,73897,Unknown,4,6902.0
Aston,2019,22770,Gasoline,Automatic,Silver,Black,None reported,Yes,184606,5.2,6,3795.0
Toyota,2021,12500,Gasoline,Automatic,Yellow,Black,None reported,Yes,53500,3.0,4,3125.0
Lincoln,2022,18196,Gasoline,Unknown,Black,Brown,None reported,Yes,62000,3.0,3,6065.333333333333
Jaguar,2020,15903,Gasoline,Automatic,Silver,Black,None reported,No,47998,2.0,5,3180.6
Land,2013,79800,Gasoline,Automatic,White,Black,None reported,Yes,29990,5.0,12,6650.0
Mercedes-Benz,2021,1685,Gasoline,Automatic,Gray,White,None reported,Yes,250000,2.0,4,421.25
Dodge,2013,61074,Gasoline,Automatic,Black,Gray,None reported,Yes,16800,3.6,12,5089.5
Nissan,2003,74000,Gasoline,Manual,Purple,unknown,None reported,Yes,11000,3.5,22,3363.6363636363635
Jaguar,2018,35250,Gasoline,Automatic,Green,Black,None reported,Yes,68750,5.0,7,5035.714285714285
Genesis,2023,5400,Gasoline,Automatic,Green,Beige,Unknown,No,60000,3.5,2,2700.0
Chevrolet,2000,133510,E85 Flex Fuel,Automatic,Blue,Black,None reported,Yes,4500,2.2,25,5340.4
BMW,2020,25990,Gasoline,Automatic,White,Beige,None reported,No,38598,3.0,5,5198.0
Ford,2023,2823,Gasoline,Automatic,Silver,Black,None reported,Yes,58504,3.5,2,1411.5
Chevrolet,2021,52000,Gasoline,Automatic,Blue,Black,None reported,Yes,61000,5.3,4,13000.0
Hyundai,2022,11650,Gasoline,Unknown,Black,Black,None reported,Yes,32300,2.0,3,3883.3333333333335
Nissan,2016,96541,Gasoline,Automatic,Blue,Black,None reported,No,13998,1.8,9,10726.777777777776
Mercedes-Benz,2021,17500,Gasoline,Automatic,Gray,Black,None reported,Yes,59995,2.0,4,4375.0
BMW,2015,69000,Gasoline,Automatic,Gray,Black,None reported,Yes,25700,4.4,10,6900.0
Audi,2017,81880,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,21375,2.0,8,10235.0
Mercedes-Benz,2018,28800,Gasoline,Automatic,Silver,Black,None reported,Yes,48000,3.0,7,4114.285714285715
Dodge,2006,300183,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,10900,5.7,19,15799.105263157897
BMW,2020,35035,Hybrid,Automatic,Black,Black,None reported,No,24998,Unknown,5,7007.0
Kia,2011,171000,Gasoline,Automatic,Black,Black,None reported,Yes,5999,3.5,14,12214.285714285714
Lexus,2016,118700,Gasoline,Automatic,Black,Beige,None reported,Yes,46900,5.7,9,13188.888888888889
Jeep,2017,119000,Gasoline,Automatic,Red,Black,None reported,Yes,15900,2.4,8,14875.0
BMW,2018,44261,Gasoline,Automatic,Gray,Black,None reported,No,33598,3.0,7,6323.0
Audi,2012,125575,Gasoline,Automatic,Silver,Black,None reported,Yes,8999,2.0,13,9659.615384615385
Hyundai,2007,16200,Gasoline,Automatic,Gold,Beige,None reported,Yes,8200,2.7,18,900.0
BMW,2014,70000,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,20000,2.0,11,6363.636363636364
Bentley,2011,20200,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,79950,6.0,14,1442.857142857143
Honda,2023,2978,Gasoline,Automatic,Silver,Gray,None reported,No,45498,3.5,2,1489.0
Dodge,2007,189719,Diesel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14000,3.0,18,10539.944444444443
BMW,2019,9949,Gasoline,Automatic,Blue,Black,None reported,No,75798,4.4,6,1658.1666666666667
Lucid,2022,3552,Gasoline,Automatic,Red,Beige,None reported,Yes,119999,Unknown,3,1184.0
Audi,2012,54000,Gasoline,Automatic,Black,Brown,At least 1 accident or damage reported,Yes,36880,3.0,13,4153.846153846154
Chevrolet,2021,51351,Gasoline,Automatic,Black,Black,None reported,Yes,43147,5.3,4,12837.75
MINI,2017,24280,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,29000,2.0,8,3035.0
Toyota,2016,89148,Gasoline,Automatic,Black,Black,None reported,Yes,17500,3.5,9,9905.333333333334
Porsche,2017,73043,Gasoline,Automatic,White,Black,None reported,Yes,30990,3.6,8,9130.375
Mercedes-Benz,2017,60000,Gasoline,Unknown,Gray,Black,At least 1 accident or damage reported,Yes,52500,4.0,8,7500.0
Honda,2016,73549,Gasoline,Automatic,Metallic,Black,At least 1 accident or damage reported,No,20848,2.4,9,8172.111111111111
Hummer,2005,110900,Gasoline,Automatic,Gray,Black,None reported,Yes,19500,6.0,20,5545.0
Porsche,2013,39000,Gasoline,Automatic,Blue,Black,None reported,Yes,73000,3.8,12,3250.0
Mercedes-Benz,2016,120000,Gasoline,Unknown,Black,Black,None reported,Yes,19800,2.0,9,13333.333333333334
Chrysler,2009,134602,Gasoline,Unknown,Blue,Black,None reported,Yes,7500,3.5,16,8412.625
Nissan,2023,1094,Gasoline,Automatic,Blue,Gray,None reported,No,30999,1.5,2,547.0
Audi,2010,83500,Gasoline,Unknown,Silver,Black,None reported,Yes,6500,2.0,15,5566.666666666667
Ford,2014,37060,Gasoline,Manual,Black,Black,None reported,Yes,28500,5.0,11,3369.090909090909
Acura,2010,97700,Gasoline,Unknown,Blue,Beige,None reported,Yes,10995,3.7,15,6513.333333333333
Volvo,2018,40000,Plug-In Hybrid,Unknown,Black,Black,None reported,Yes,42000,2.0,7,5714.285714285715
Audi,2018,8940,Gasoline,Automatic,Red,Black,None reported,No,144900,5.2,7,1277.142857142857
Mercedes-Benz,2014,186000,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,10000,3.5,11,16909.090909090908
Toyota,2021,13180,Gasoline,CVT,Unknown,unknown,None reported,No,23998,2.0,4,3295.0
Lexus,2014,104000,Gasoline,Automatic,Black,Black,None reported,Yes,21000,3.5,11,9454.545454545454
BMW,2023,8500,Hybrid,Unknown,Gray,Beige,None reported,Yes,67900,3.0,2,4250.0
BMW,2019,19069,Gasoline,Automatic,White,Gray,None reported,No,69998,3.0,6,3178.1666666666665
Cadillac,2023,6090,Gasoline,Automatic,White,Beige,None reported,Yes,46900,2.0,2,3045.0
Lucid,2022,4900,Gasoline,Automatic,Red,Black,None reported,Yes,99000,Unknown,3,1633.3333333333333
Audi,2019,47523,Gasoline,Unknown,Black,Black,None reported,Yes,31000,2.0,6,7920.5
Chrysler,2006,43000,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,19995,6.1,19,2263.157894736842
Bentley,2017,14684,Gasoline,Automatic,White,White,None reported,Yes,130000,6.0,8,1835.5
BMW,2019,57800,Gasoline,Unknown,Black,Red,None reported,Yes,55999,3.0,6,9633.333333333334
Toyota,2023,952,Gasoline,Manual,Silver,Gray,None reported,Yes,49950,1.6,2,476.0
Audi,2019,21240,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,59950,2.9,6,3540.0
Porsche,2019,59338,Gasoline,Unknown,Black,Black,None reported,Yes,42499,3.0,6,9889.666666666666
Lamborghini,2023,255,Gasoline,Automatic,Blue,Black,None reported,No,359991,5.2,2,127.5
Maserati,2019,23230,Gasoline,Automatic,Black,Black,None reported,Yes,44999,3.0,6,3871.6666666666665
Jaguar,2017,48000,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,30000,3.0,8,6000.0
Lexus,2005,41059,Gasoline,Automatic,White,Beige,None reported,Yes,11100,3.3,20,2052.95
Land,2020,21240,Gasoline,Automatic,White,Black,None reported,No,37998,2.0,5,4248.0
Porsche,2015,11500,Gasoline,Automatic,Silver,unknown,None reported,Yes,72000,3.4,10,1150.0
Genesis,2021,9950,Gasoline,Automatic,Silver,Blue,None reported,Yes,53950,3.3,4,2487.5
Volkswagen,2023,633,Gasoline,Manual,White,Black,None reported,Yes,47999,2.0,2,316.5
Hyundai,2015,66000,Hybrid,Automatic,White,Gray,At least 1 accident or damage reported,Yes,15900,2.4,10,6600.0
Audi,2014,59715,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,45000,4.0,11,5428.636363636364
BMW,2012,85252,Gasoline,Automatic,Black,Black,None reported,Yes,18500,3.0,13,6557.846153846154
Mercedes-Benz,2020,17900,Hybrid,Automatic,Black,Black,At least 1 accident or damage reported,Yes,80000,3.0,5,3580.0
BMW,2016,25500,Gasoline,Automatic,White,Black,None reported,Yes,55000,4.4,9,2833.333333333333
Subaru,2004,210703,Gasoline,Manual,Green,Beige,Unknown,No,2300,2.5,21,10033.47619047619
Hyundai,2023,3800,Gasoline,Manual,White,Black,None reported,Yes,34000,2.0,2,1900.0
Kia,2022,36602,Hybrid,Automatic,Blue,Gray,None reported,Yes,31995,1.6,3,12200.666666666666
Rivian,2023,2800,Gasoline,Automatic,White,Green,None reported,Yes,92000,Unknown,2,1400.0
Aston,2021,2165,Gasoline,Automatic,Black,Black,None reported,Yes,279950,5.2,4,541.25
Mercedes-Benz,2018,33000,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,29900,2.0,7,4714.285714285715
BMW,2016,76009,Gasoline,Automatic,White,Beige,None reported,Yes,24950,3.0,9,8445.444444444445
Jeep,2020,31349,Gasoline,Automatic,Metallic,Black,None reported,No,39366,5.7,5,6269.8
Lexus,2015,48000,Gasoline,Unknown,Orange,Red,None reported,Yes,32900,3.5,10,4800.0
BMW,2005,91420,Gasoline,Automatic,Black,Black,None reported,Yes,8900,2.5,20,4571.0
Toyota,2003,124756,Gasoline,Manual,Beige,Beige,At least 1 accident or damage reported,Yes,4995,1.8,22,5670.727272727273
Cadillac,2023,2415,Gasoline,Automatic,Metallic,Gray,None reported,No,104900,6.2,2,1207.5
GMC,2012,116226,Gasoline,Automatic,Black,Black,None reported,Yes,7900,3.6,13,8940.461538461539
Lexus,2020,37869,Gasoline,Automatic,Silver,Red,None reported,No,75950,5.0,5,7573.8
BMW,2019,41500,Plug-In Hybrid,Unknown,White,Black,None reported,Yes,86000,1.5,6,6916.666666666667
Lexus,2013,87001,Hybrid,CVT,Gold,Beige,None reported,Yes,17995,2.5,12,7250.083333333333
Cadillac,2022,4451,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,55655,3.0,3,1483.6666666666667
BMW,2020,27158,Gasoline,Automatic,Blue,Black,None reported,No,39998,2.0,5,5431.6
Chevrolet,2014,139804,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,14500,4.3,11,12709.454545454546
Jeep,2022,27300,Gasoline,Automatic,Green,Black,None reported,Yes,47500,3.6,3,9100.0
BMW,2014,36812,Gasoline,Unknown,White,Beige,None reported,Yes,27000,2.0,11,3346.5454545454545
Land,2016,144000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,18000,3.0,9,16000.0
Cadillac,2019,44500,Gasoline,Automatic,Blue,White,None reported,Yes,28900,2.0,6,7416.666666666667
BMW,2021,10917,Gasoline,Automatic,Black,Black,None reported,No,73998,4.4,4,2729.25
Bentley,2005,8332,Gasoline,Automatic,White,Beige,None reported,Yes,47350,6.75,20,416.6
Lincoln,2020,51247,Gasoline,Automatic,Gray,Brown,None reported,No,47698,3.0,5,10249.4
Mercedes-Benz,2016,69000,Gasoline,Unknown,Black,Brown,None reported,Yes,36500,5.5,9,7666.666666666667
RAM,2021,147834,Gasoline,Automatic,White,Black,None reported,Yes,32662,3.6,4,36958.5
Ford,2013,105000,E85 Flex Fuel,Automatic,White,Black,At least 1 accident or damage reported,Yes,6600,3.7,12,8750.0
Audi,2011,92203,Gasoline,Unknown,Red,Beige,None reported,Yes,9995,2.0,14,6585.928571428572
Nissan,2010,15600,Gasoline,Unknown,White,Black,None reported,Yes,69500,3.8,15,1040.0
Land,2018,104700,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,No,30775,Unknown,7,14957.142857142857
Toyota,2010,72348,Gasoline,Automatic,Red,Gray,At least 1 accident or damage reported,Yes,9995,1.8,15,4823.2
Rivian,2023,2500,Gasoline,Automatic,Green,White,None reported,Yes,94000,Unknown,2,1250.0
Mercedes-Benz,2022,13177,Gasoline,Automatic,White,Black,None reported,No,44798,2.0,3,4392.333333333333
Porsche,2016,96000,Plug-In Hybrid,Unknown,White,Red,At least 1 accident or damage reported,Yes,23000,3.0,9,10666.666666666666
Chevrolet,2011,93009,E85 Flex Fuel,Automatic,White,Gray,None reported,Yes,22495,5.3,14,6643.5
INFINITI,2016,52750,Hybrid,Automatic,White,Black,At least 1 accident or damage reported,Yes,28998,3.5,9,5861.111111111111
Audi,2020,25361,Hybrid,Automatic,Gray,Black,None reported,No,49998,3.0,5,5072.2
Audi,2015,98527,Gasoline,Automatic,Black,Black,Unknown,No,9995,3.0,10,9852.7
Lucid,2023,1300,Gasoline,Automatic,Black,Gray,Unknown,No,86900,Unknown,2,650.0
Chrysler,2017,87305,Gasoline,Automatic,Silver,Black,None reported,Yes,9000,Unknown,8,10913.125
Audi,2012,72922,Gasoline,Automatic,White,Black,Unknown,No,25999,2.0,13,5609.384615384615
BMW,2015,41000,Gasoline,Automatic,Black,Black,None reported,Yes,30000,4.4,10,4100.0
Subaru,2021,42125,Gasoline,Automatic,Black,Black,None reported,Yes,27899,2.5,4,10531.25
Mercedes-Benz,2016,62000,Gasoline,Unknown,Black,Black,None reported,Yes,40000,4.0,9,6888.888888888889
Land,2006,153843,Gasoline,Automatic,Red,Beige,At least 1 accident or damage reported,Yes,9950,4.4,19,8097.0
BMW,2019,35248,Gasoline,Automatic,Gray,Black,None reported,No,53998,3.0,6,5874.666666666667
Ford,2015,194454,Gasoline,Automatic,White,Black,None reported,Yes,9888,2.5,10,19445.4
Lexus,2021,21000,Gasoline,Unknown,White,Black,None reported,Yes,89999,5.7,4,5250.0
Porsche,2013,18494,Gasoline,Manual,Black,Black,Unknown,No,86900,3.8,12,1541.1666666666667
Dodge,2006,218000,Gasoline,Automatic,Red,Gray,None reported,Yes,12990,5.7,19,11473.684210526317
Nissan,2021,67800,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,36500,5.6,4,16950.0
Porsche,2014,79000,Gasoline,Unknown,Red,Black,At least 1 accident or damage reported,Yes,42999,2.7,11,7181.818181818182
Mercedes-Benz,2022,24906,Hybrid,Automatic,Gray,Black,None reported,No,63998,3.0,3,8302.0
Chevrolet,2006,66840,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,12000,5.3,19,3517.894736842105
BMW,2013,86000,Gasoline,Unknown,Blue,White,None reported,Yes,32000,4.4,12,7166.666666666667
Hyundai,2023,654,Gasoline,Automatic,Black,Black,None reported,Yes,34599,2.0,2,327.0
Chevrolet,2005,75000,Gasoline,Automatic,Black,Black,None reported,Yes,12500,3.8,20,3750.0
Land,2015,84000,Gasoline,Automatic,Beige,Black,At least 1 accident or damage reported,Yes,22800,2.0,10,8400.0
Audi,2017,52500,Gasoline,Unknown,Gray,Gray,None reported,Yes,39999,4.0,8,6562.5
GMC,2011,120000,Gasoline,Automatic,Silver,Gray,None reported,Yes,7500,3.6,14,8571.42857142857
Alfa,2020,18665,Gasoline,Automatic,White,Gray,None reported,Yes,35645,2.0,5,3733.0
Ferrari,2016,19987,Gasoline,Automatic,Black,Brown,None reported,Yes,149900,6.3,9,2220.777777777778
Kia,2017,36486,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,23950,5.0,8,4560.75
Ford,2013,162100,E85 Flex Fuel,Automatic,Black,Gray,None reported,Yes,12500,5.4,12,13508.333333333334
Tesla,2022,13079,Gasoline,Automatic,Black,White,None reported,Yes,47000,Unknown,3,4359.666666666667
Toyota,2022,28377,Gasoline,Automatic,Silver,Gray,None reported,No,36999,4.0,3,9459.0
Subaru,2020,32744,Gasoline,CVT,Black,Gray,None reported,Yes,24000,2.5,5,6548.8
Porsche,2012,54000,Gasoline,Automatic,White,unknown,At least 1 accident or damage reported,Yes,26000,3.6,13,4153.846153846154
Toyota,2008,202055,Gasoline,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes,8500,4.0,17,11885.588235294115
RAM,2019,65000,Diesel,Automatic,Black,Black,None reported,Yes,65000,6.7,6,10833.333333333334
Kia,2022,9686,Gasoline,Automatic,Red,Black,None reported,Yes,30990,2.4,3,3228.6666666666665
Cadillac,2010,49620,Gasoline,Automatic,White,Gray,None reported,Yes,10499,4.6,15,3308.0
Toyota,1997,213000,Gasoline,Automatic,White,Beige,None reported,Yes,26500,4.5,28,7607.142857142857
Nissan,2020,16010,Gasoline,Automatic,White,Black,None reported,Yes,114000,3.8,5,3202.0
Lexus,2023,820,Gasoline,Unknown,Black,Black,None reported,No,51998,2.4,2,410.0
Audi,2021,68000,Gasoline,Automatic,Blue,Black,None reported,Yes,36499,2.0,4,17000.0
Lexus,1999,82000,Gasoline,Automatic,White,Beige,None reported,Yes,25000,4.7,26,3153.846153846154
GMC,2022,27352,Gasoline,Automatic,White,Black,None reported,No,27785,1.5,3,9117.333333333334
Ford,2012,129000,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,7000,2.5,13,9923.076923076924
Lexus,2014,106731,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,30000,4.6,11,9702.818181818182
Ford,2019,34672,Gasoline,Automatic,White,White,None reported,Yes,45500,3.5,6,5778.666666666667
Chevrolet,2010,55900,Gasoline,Unknown,Beige,Beige,None reported,Yes,8950,3.6,15,3726.6666666666665
Audi,2023,3158,Gasoline,Automatic,Gray,Red,None reported,No,128900,4.0,2,1579.0
Audi,2015,82000,Gasoline,Automatic,White,Brown,None reported,Yes,17000,2.0,10,8200.0
Genesis,2023,4785,Gasoline,Automatic,Black,Black,None reported,Yes,42850,2.0,2,2392.5
Chevrolet,2021,20497,Gasoline,Automatic,Blue,Black,None reported,No,22999,1.3,4,5124.25
Scion,2013,177600,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,7100,2.5,12,14800.0
Lincoln,2014,78568,Hybrid,Automatic,Blue,Beige,None reported,Yes,15500,2.0,11,7142.545454545455
Ford,2018,95000,E85 Flex Fuel,Automatic,White,Gray,None reported,Yes,43000,3.7,7,13571.42857142857
Porsche,2018,4529,Gasoline,Automatic,Black,Black,None reported,Yes,417500,3.8,7,647.0
Ford,2021,25240,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,No,39951,2.3,4,6310.0
Volvo,2011,88300,Gasoline,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes,11500,3.2,14,6307.142857142857
Chevrolet,2013,98000,E85 Flex Fuel,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,27499,5.3,12,8166.666666666667
Audi,2018,20675,Gasoline,Unknown,Gray,Gray,None reported,Yes,76000,2.5,7,2953.5714285714284
Lincoln,2008,95000,Gasoline,Automatic,Black,Black,None reported,Yes,10900,5.4,17,5588.235294117647
Hyundai,2010,107000,Gasoline,Automatic,Blue,Blue,At least 1 accident or damage reported,Yes,6250,2.0,15,7133.333333333333
Audi,2016,60000,Gasoline,Unknown,Black,Black,At least 1 accident or damage reported,Yes,24700,3.0,9,6666.666666666667
Mitsubishi,2012,33000,Gasoline,Manual,Black,Black,None reported,Yes,34999,2.0,13,2538.4615384615386
Tesla,2023,500,Gasoline,Automatic,Black,White,None reported,Yes,60000,Unknown,2,250.0
Mercedes-Benz,2016,108500,Gasoline,Automatic,White,Beige,None reported,Yes,63500,6.0,9,12055.555555555557
Nissan,2017,37800,Gasoline,Unknown,Orange,Orange,None reported,Yes,149500,3.8,8,4725.0
Mercedes-Benz,2018,74422,Gasoline,Automatic,Black,Gray,None reported,No,44798,4.7,7,10631.714285714286
Chevrolet,2019,55621,Gasoline,Automatic,Silver,Black,None reported,No,34562,3.6,6,9270.166666666666
Mazda,2021,46707,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,32541,2.5,4,11676.75
Ford,2022,26500,Gasoline,Automatic,White,Beige,None reported,Yes,65900,3.5,3,8833.333333333334
Nissan,2020,10001,Gasoline,Automatic,Black,Black,None reported,Yes,47214,5.6,5,2000.2
Lexus,2019,19050,Gasoline,Automatic,Black,Beige,None reported,Yes,76900,5.7,6,3175.0
Chevrolet,2020,52000,Gasoline,Automatic,White,Black,None reported,Yes,35800,3.6,5,10400.0
Mercedes-Benz,2014,65000,Diesel,Automatic,Black,Black,At least 1 accident or damage reported,Yes,54999,3.0,11,5909.090909090909
BMW,2004,140000,Gasoline,Unknown,Black,Beige,None reported,Yes,6730,3.0,21,6666.666666666667
Ford,2018,75600,Gasoline,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,14950,1.5,7,10800.0
Lincoln,2015,117292,Gasoline,Automatic,Beige,Beige,None reported,Yes,12000,2.0,10,11729.2
Ford,2005,1897,Gasoline,Manual,White,unknown,None reported,No,429998,5.4,20,94.85
Genesis,2017,26000,Gasoline,Unknown,White,Beige,None reported,Yes,33600,5.0,8,3250.0
Lexus,2022,2071,Gasoline,Automatic,Gray,Brown,None reported,No,99950,5.0,3,690.3333333333334
Ford,2014,15629,Gasoline,Manual,Black,Black,None reported,No,61900,5.8,11,1420.8181818181818
Saturn,2008,15020,Gasoline,Automatic,Silver,Red,None reported,Yes,18500,2.4,17,883.5294117647059
Audi,2022,11322,Gasoline,Automatic,Gray,Red,None reported,No,119900,4.0,3,3774.0
Toyota,2016,50361,Gasoline,Automatic,Silver,Black,None reported,No,65998,5.7,9,5595.666666666667
Mercedes-Benz,2013,115000,Gasoline,Unknown,Black,Black,At least 1 accident or damage reported,Yes,36000,4.6,12,9583.333333333334
Porsche,2005,28500,Gasoline,Manual,Silver,Black,None reported,Yes,63500,3.8,20,1425.0
Mercedes-Benz,2018,51700,Gasoline,Unknown,White,Black,None reported,Yes,32000,2.0,7,7385.714285714285
Ford,2008,148949,Gasoline,Automatic,Blue,Beige,None reported,Yes,3900,3.5,17,8761.70588235294
BMW,2018,39300,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,31750,3.0,7,5614.285714285715
Honda,2008,82323,Gasoline,Manual,Black,Black,None reported,Yes,28500,2.2,17,4842.529411764706
Acura,2023,3574,Gasoline,Unknown,Blue,Other,None reported,No,34998,1.5,2,1787.0
Ford,2001,109357,Gasoline,Automatic,Green,Beige,None reported,Yes,12749,6.8,24,4556.541666666667
Mercedes-Benz,2004,46000,Gasoline,Automatic,White,Gray,None reported,Yes,18853,5.0,21,2190.4761904761904
Mercedes-Benz,2007,123112,Gasoline,Automatic,Silver,Black,At least 1 accident or damage reported,Yes,104999,5.5,18,6839.555555555556
INFINITI,2007,37100,Gasoline,Manual,Gray,Black,None reported,Yes,16900,3.5,18,2061.1111111111118
Volkswagen,2016,89000,Gasoline,Manual,Silver,Black,None reported,Yes,14500,2.0,9,9888.888888888889
Dodge,2022,1240,Gasoline,Automatic,Red,Black,None reported,No,53900,6.4,3,413.3333333333333
Lincoln,2019,67073,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,47999,3.5,6,11178.833333333334
Maserati,2015,28700,Gasoline,Automatic,White,Red,Unknown,No,24900,3.0,10,2870.0
Tesla,2023,8200,Gasoline,Automatic,Black,Black,None reported,Yes,93999,Unknown,2,4100.0
Mercedes-Benz,2018,41000,Gasoline,Unknown,Gray,Black,None reported,Yes,108900,5.5,7,5857.142857142857
Ford,2018,98995,Gasoline,Automatic,Silver,Black,None reported,No,34998,3.5,7,14142.142857142857
Volkswagen,2012,123815,Gasoline,Automatic,Black,Gray,None reported,Yes,5000,3.6,13,9524.23076923077
Bugatti,2011,6330,Gasoline,Automatic,White,White,None reported,Yes,1950995,8.0,14,452.1428571428572
Toyota,2020,61341,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,No,34084,3.5,5,12268.2
Honda,2016,96473,Gasoline,Automatic,Black,Black,None reported,No,15599,2.0,9,10719.222222222224
