iter	RMSE
0	0.7626851993
1	0.7260795143
2	0.691707447
3	0.6604793468
4	0.6313329522
5	0.6049876401
6	0.5790789986
7	0.5565233324
8	0.5351749244
9	0.5168313467
10	0.4994307437
11	0.4828786066
12	0.4683415223
13	0.4549498668
14	0.4432852879
15	0.4317152132
16	0.4216559047
17	0.4123777253
18	0.4044582581
19	0.3964906444
20	0.3895061793
21	0.3836385016
22	0.3777728239
23	0.372449092
24	0.3675862431
25	0.3625757384
26	0.3580145337
27	0.3535987679
28	0.3497523165
29	0.345877666
30	0.3423918196
31	0.3393769048
32	0.3363609148
33	0.3339499812
34	0.3322109129
35	0.3302188032
36	0.3280392098
37	0.3264801447
38	0.3239717509
39	0.3223974501
40	0.3208198176
41	0.3193056797
42	0.3182452994
43	0.3165133669
44	0.315279336
45	0.3144151168
46	0.3130238469
47	0.3117909291
48	0.3106131828
49	0.3096257507
50	0.3085338164
51	0.3075233039
52	0.3064254442
53	0.3056858168
54	0.3049636543
55	0.304192414
56	0.3036134842
57	0.3029268286
58	0.3024056246
59	0.3018142416
60	0.3011069105
61	0.300507387
62	0.2999747796
63	0.2995304986
64	0.2990954684
65	0.2984623745
66	0.2980708096
67	0.2974831202
68	0.2969973308
69	0.2961516699
70	0.2956662969
71	0.2948873063
72	0.2941152639
73	0.2932836046
74	0.2929752165
75	0.2926523682
76	0.2921486136
77	0.2916597019
78	0.2912563022
79	0.2906982594
80	0.2898786166
81	0.2895713871
82	0.2890552946
83	0.2884777348
84	0.2878748963
85	0.2874633388
86	0.2869293153
87	0.2865512779
88	0.2859147503
89	0.2848643679
90	0.284801018
91	0.2843583592
92	0.284040551
93	0.2834917255
94	0.2833268938
95	0.2822945501
96	0.2816898502
97	0.2813757319
98	0.2809049466
99	0.2801479448
100	0.2797145245
101	0.2792845161
102	0.2790349498
103	0.278165787
104	0.277643782
105	0.2767957296
106	0.2762931218
107	0.2756747125
108	0.2753667708
109	0.2749187902
110	0.2746463805
111	0.2741694416
112	0.273611077
113	0.2734200156
114	0.2728759737
115	0.2723581642
116	0.2716325181
117	0.271220651
118	0.2707561173
119	0.2703725776
120	0.2699218778
121	0.2697459085
122	0.2690394606
123	0.2687215224
124	0.2683591328
125	0.2679342925
126	0.2676956022
127	0.267419174
128	0.2670631152
129	0.2666222425
130	0.2663126971
131	0.265827107
132	0.2654320999
133	0.2649933682
134	0.2646476826
135	0.2639929753
136	0.2638559326
137	0.2633731384
138	0.26305854
139	0.2624833883
140	0.2621626978
141	0.2618165371
142	0.2615426693
143	0.2609242081
144	0.2607172992
145	0.2604344257
146	0.2600375479
147	0.2597259926
148	0.259198083
149	0.2588014373
150	0.2585483219
151	0.2581469381
152	0.2578512679
153	0.2577199957
154	0.2572307473
155	0.2570335879
156	0.2567633573
157	0.2564905771
158	0.2562173728
159	0.2558317257
160	0.2554892085
161	0.2551348409
162	0.2547727481
163	0.2544616838
164	0.2541477038
165	0.2536906768
166	0.2534209751
167	0.2532155822
168	0.2529679934
169	0.2525901817
170	0.2523654611
171	0.2520043429
172	0.2516405349
173	0.2513956778
174	0.2510683682
175	0.2508729948
176	0.2504957639
