iter	Passed	Remaining
0	154	94302
1	163	50003
2	169	34481
3	178	27202
4	184	22456
5	191	19420
6	198	17141
7	205	15534
8	215	14434
9	231	13949
10	240	13187
11	247	12394
12	257	11884
13	264	11337
14	273	10897
15	282	10547
16	293	10279
17	300	9935
18	308	9646
19	316	9369
20	327	9221
21	334	8981
22	344	8832
23	354	8703
24	360	8489
25	369	8338
26	376	8175
27	390	8154
28	404	8147
29	411	7997
30	420	7898
31	428	7779
32	435	7658
33	443	7549
34	451	7454
35	458	7340
36	463	7215
37	470	7115
38	475	7004
39	484	6942
40	489	6834
41	495	6731
42	502	6654
43	507	6560
44	515	6502
45	521	6433
46	527	6347
47	534	6291
48	541	6235
49	548	6178
50	553	6100
51	558	6024
52	566	5986
53	571	5916
54	580	5892
55	585	5826
56	591	5765
57	600	5744
58	605	5685
59	613	5652
60	619	5608
61	628	5581
62	633	5534
63	638	5480
64	646	5448
65	651	5396
66	658	5367
67	663	5320
68	670	5283
69	678	5265
70	684	5228
71	695	5227
72	709	5246
73	717	5228
74	727	5215
75	734	5192
76	744	5181
77	750	5149
78	763	5160
79	782	5216
80	794	5215
81	800	5180
82	809	5170
83	820	5168
84	830	5155
85	840	5148
86	845	5114
87	856	5107
88	862	5080
89	871	5062
90	873	5009
91	879	4983
92	888	4970
93	895	4944
94	903	4925
95	913	4920
96	925	4925
97	943	4955
98	955	4960
99	962	4939
100	970	4922
101	979	4908
102	987	4888
103	995	4872
104	1001	4846
105	1010	4832
106	1018	4814
107	1026	4800
108	1034	4784
109	1042	4767
110	1048	4742
111	1055	4720
112	1061	4695
113	1067	4671
114	1077	4666
115	1082	4638
116	1091	4628
117	1098	4608
118	1108	4601
119	1114	4576
120	1124	4571
121	1130	4549
122	1138	4535
123	1144	4511
124	1151	4497
125	1158	4476
126	1170	4479
127	1176	4459
128	1185	4447
129	1191	4426
130	1199	4413
131	1205	4391
132	1211	4370
133	1220	4361
134	1225	4339
135	1234	4331
136	1241	4314
137	1251	4306
138	1257	4289
139	1269	4288
140	1275	4270
141	1283	4256
142	1288	4235
143	1297	4224
144	1302	4203
145	1310	4191
146	1316	4173
147	1321	4153
148	1329	4141
149	1336	4126
150	1346	4118
151	1353	4103
152	1361	4093
153	1367	4075
154	1375	4063
155	1381	4046
156	1388	4031
157	1396	4022
158	1402	4005
159	1412	3999
160	1418	3982
161	1425	3968
162	1431	3952
163	1441	3945
164	1446	3928
165	1452	3910
166	1462	3905
167	1472	3899
168	1477	3882
169	1484	3868
170	1492	3858
171	1499	3845
172	1509	3838
173	1514	3821
174	1522	3810
175	1528	3794
176	1541	3796
177	1548	3784
178	1557	3777
179	1563	3761
180	1573	3754
181	1579	3741
182	1590	3736
183	1596	3721
184	1604	3712
185	1610	3697
186	1618	3686
187	1624	3672
188	1634	3665
189	1640	3652
190	1648	3642
191	1657	3634
192	1665	3625
193	1671	3610
194	1679	3600
195	1684	3584
196	1689	3567
197	1697	3558
198	1702	3542
199	1707	3526
200	1716	3518
201	1721	3503
202	1728	3491
203	1735	3479
204	1740	3463
205	1747	3452
206	1753	3438
207	1760	3428
208	1767	3415
209	1773	3402
210	1780	3391
211	1785	3377
212	1792	3366
213	1798	3352
214	1804	3340
215	1810	3327
216	1815	3313
217	1820	3298
218	1827	3287
219	1832	3273
220	1837	3258
221	1843	3247
222	1850	3235
223	1857	3226
224	1863	3213
225	1868	3198
226	1874	3186
227	1879	3174
228	1888	3166
229	1892	3152
230	1897	3138
231	1905	3129
232	1914	3122
233	1923	3115
234	1929	3102
235	1939	3097
236	1950	3094
237	1960	3089
238	1982	3102
239	1992	3096
240	2002	3090
241	2008	3078
242	2018	3073
243	2025	3063
244	2035	3057
245	2041	3046
246	2050	3038
247	2060	3032
248	2071	3028
249	2080	3021
250	2087	3011
251	2097	3004
252	2104	2994
253	2113	2987
254	2119	2976
255	2128	2967
256	2135	2958
257	2145	2952
258	2152	2941
259	2164	2938
260	2172	2930
261	2181	2922
262	2186	2910
263	2198	2906
264	2203	2893
265	2214	2888
266	2220	2877
267	2230	2870
268	2238	2862
269	2246	2853
270	2252	2842
271	2261	2834
272	2268	2824
273	2276	2816
274	2282	2804
275	2290	2797
276	2298	2788
277	2308	2782
278	2315	2772
279	2323	2763
280	2330	2753
281	2339	2745
282	2345	2735
283	2355	2728
284	2361	2717
285	2369	2708
286	2378	2701
287	2387	2694
288	2393	2683
289	2400	2674
290	2407	2663
291	2413	2652
292	2422	2645
293	2427	2633
294	2435	2624
295	2440	2613
296	2446	2603
297	2452	2592
298	2459	2582
299	2469	2576
300	2477	2567
301	2484	2558
302	2489	2547
303	2497	2539
304	2503	2528
305	2509	2517
306	2516	2508
307	2523	2498
308	2532	2491
309	2541	2484
310	2554	2480
311	2564	2474
312	2574	2467
313	2583	2460
314	2595	2455
315	2602	2446
316	2612	2439
317	2620	2430
318	2628	2422
319	2635	2413
320	2645	2406
321	2653	2397
322	2662	2390
323	2670	2381
324	2678	2373
325	2684	2363
326	2693	2356
327	2700	2346
328	2708	2338
329	2717	2330
330	2724	2321
331	2730	2311
332	2740	2304
333	2747	2294
334	2756	2287
335	2762	2277
336	2770	2269
337	2778	2260
338	2787	2253
339	2794	2243
340	2802	2235
341	2808	2225
342	2818	2219
343	2825	2209
344	2831	2199
345	2839	2191
346	2846	2182
347	2854	2174
348	2861	2164
349	2870	2156
350	2876	2146
351	2884	2138
352	2891	2129
353	2899	2121
354	2906	2112
355	2911	2102
356	2917	2091
357	2922	2081
358	2929	2072
359	2935	2063
360	2941	2053
361	2948	2044
362	2954	2034
363	2963	2027
364	2969	2017
365	2974	2007
366	2981	1998
367	2988	1989
368	3000	1984
369	3007	1975
370	3016	1967
371	3023	1958
372	3031	1950
373	3037	1941
374	3047	1934
375	3054	1925
376	3064	1918
377	3072	1910
378	3080	1901
379	3086	1892
380	3096	1885
381	3103	1876
382	3110	1868
383	3119	1860
384	3125	1850
385	3131	1841
386	3138	1832
387	3141	1821
388	3144	1810
389	3148	1800
390	3153	1790
391	3155	1779
392	3159	1768
393	3162	1757
394	3164	1746
395	3170	1737
396	3173	1726
397	3176	1715
398	3179	1705
399	3183	1695
400	3186	1684
401	3190	1674
402	3195	1664
403	3207	1659
404	3218	1652
405	3225	1644
406	3235	1637
407	3242	1628
408	3252	1622
409	3258	1613
410	3266	1605
411	3273	1596
412	3283	1590
413	3290	1581
414	3300	1574
415	3306	1565
416	3316	1558
417	3323	1550
